@vw2 1.3
@legend signpost: a verdict references its component recipe (ref=), never copies it
@legend q-vs-ran: q= is the REQUESTED quantity; ran= is the EXECUTED batch of the timing run
@legend metric: ns= is comparable only within identical metric= and units=; absent ns = informational
@legend lay: lay=split|il keys the CALLER's data layout (v1.2) - layout is a caller declaration like place=, never a strategy output; absent = a pre-1.2 record OR a shared-interior recipe (one engine serves both layouts - stamping a layout from the other door's timing would manufacture fake cells), served to concrete-lay requests as the fallback tier
@cell t=c2c n=4x4096 q=1 ord=nat place=oop lay=il | chain=4 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=18983.6 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=4x8192 q=1 ord=nat place=oop lay=il | chain=4 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=41003.3 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=8x2 q=1 ord=nat place=oop lay=il | chain=8 wl=0 tf=0 ro=2 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=16.8 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=8x4 q=1 ord=nat place=oop lay=il | chain=8 wl=0 tf=0 ro=2 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=22.2 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=8x8 q=1 ord=nat place=oop lay=il | chain=8 wl=0 tf=0 ro=2 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=35.8 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=8x16 q=1 ord=nat place=oop lay=il | chain=8 wl=0 tf=0 ro=3 sw=0 rbk=16 turn=0 csk=1 | ran=1 ns=73.1 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=8x32 q=1 ord=nat place=oop lay=il | chain=8 wl=0 tf=0 ro=3 sw=0 rbk=4 turn=0 csk=1 | ran=1 ns=153.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=8x64 q=1 ord=nat place=oop lay=il | chain=8 wl=0 tf=0 ro=3 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=320.3 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=8x128 q=1 ord=nat place=oop lay=il | chain=8 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=718.6 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=8x256 q=1 ord=nat place=oop lay=il | chain=8 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=2039.5 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=8x512 q=1 ord=nat place=oop lay=il | chain=8 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=4457.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=8x1024 q=1 ord=nat place=oop lay=il | chain=8 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=8483.6 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=8x2048 q=1 ord=nat place=oop lay=il | chain=8 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=17988.5 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=8x4096 q=1 ord=nat place=oop lay=il | chain=8 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=41226.7 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=8x8192 q=1 ord=nat place=oop lay=il | chain=8 wl=0 tf=0 ro=0 sw=256 rbk=8 turn=0 csk=0 | ran=1 ns=95700.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=16x2 q=1 ord=nat place=oop lay=il | chain=16 wl=0 tf=0 ro=2 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=24.9 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=16x4 q=1 ord=nat place=oop lay=il | chain=16 wl=0 tf=0 ro=2 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=38.9 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=16x8 q=1 ord=nat place=oop lay=il | chain=16 wl=0 tf=0 ro=2 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=68.6 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=16x16 q=1 ord=nat place=oop lay=il | chain=16 wl=0 tf=0 ro=3 sw=0 rbk=16 turn=0 csk=1 | ran=1 ns=159.6 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=16x32 q=1 ord=nat place=oop lay=il | chain=16 wl=0 tf=0 ro=3 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=332.9 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=16x64 q=1 ord=nat place=oop lay=il | chain=4.4 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=784.7 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=16x128 q=1 ord=nat place=oop lay=il | chain=16 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=1800.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=16x256 q=1 ord=nat place=oop lay=il | chain=4.4 wl=0 tf=0 ro=3 sw=0 rbk=4 turn=0 csk=1 | ran=1 ns=4449.6 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=16x512 q=1 ord=nat place=oop lay=il | chain=4.4 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=10002.5 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=16x1024 q=1 ord=nat place=oop lay=il | chain=4.4 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=18580.3 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=16x2048 q=1 ord=nat place=oop lay=il | chain=4.4 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=39233.3 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=16x4096 q=1 ord=nat place=oop lay=il | chain=4.4 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=98366.7 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=16x8192 q=1 ord=nat place=oop lay=il | chain=16 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=273414.3 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=32x2 q=1 ord=nat place=oop lay=il | chain=32 wl=0 tf=0 ro=2 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=49.2 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=32x4 q=1 ord=nat place=oop lay=il | chain=32 wl=0 tf=0 ro=2 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=78.9 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=32x8 q=1 ord=nat place=oop lay=il | chain=32 wl=0 tf=0 ro=2 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=152.6 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=32x16 q=1 ord=nat place=oop lay=il | chain=32 wl=0 tf=0 ro=2 sw=16 rbk=8 turn=0 csk=0 | ran=1 ns=348.5 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=32x32 q=1 ord=nat place=oop lay=il | chain=32 wl=0 tf=0 ro=3 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=773.5 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=32x64 q=1 ord=nat place=oop lay=il | chain=32 wl=0 tf=0 ro=3 sw=64 rbk=8 turn=0 csk=0 | ran=1 ns=1866.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=32x128 q=1 ord=nat place=oop lay=il | chain=4.8 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=5320.9 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=32x256 q=1 ord=nat place=oop lay=il | chain=4.4.2 wl=0 tf=0 ro=0 sw=256 rbk=8 turn=0 csk=0 | ran=1 ns=11385.2 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=32x512 q=1 ord=nat place=oop lay=il | chain=4.4.2 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=24613.1 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=32x1024 q=1 ord=nat place=oop lay=il | chain=32 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=50586.7 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=32x2048 q=1 ord=nat place=oop lay=il | chain=8.4 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=108953.3 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=32x4096 q=1 ord=nat place=oop lay=il | chain=32 wl=0 tf=0 ro=0 sw=128 rbk=8 turn=0 csk=0 | ran=1 ns=265800.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=32x8192 q=1 ord=nat place=oop lay=il | chain=8.4 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=550166.7 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=64x2 q=1 ord=nat place=oop lay=il | chain=64 wl=0 tf=0 ro=2 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=98.8 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=64x4 q=1 ord=nat place=oop lay=il | chain=64 wl=0 tf=0 ro=2 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=173.7 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=64x8 q=1 ord=nat place=oop lay=il | chain=64 wl=0 tf=0 ro=2 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=333.9 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=64x16 q=1 ord=nat place=oop lay=il | chain=64 wl=0 tf=0 ro=2 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=760.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=64x32 q=1 ord=nat place=oop lay=il | chain=64 wl=64 tf=1 ro=3 sw=0 rbk=4 turn=0 csk=0 | ran=1 ns=1969.1 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=64x64 q=1 ord=nat place=oop lay=il | chain=8.8 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=5444.7 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=64x128 q=1 ord=nat place=oop lay=il | chain=4.4.4 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=13368.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=64x256 q=1 ord=nat place=oop lay=il | chain=4.8.2 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=23718.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=64x512 q=1 ord=nat place=oop lay=il | chain=4.8.2 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=53823.3 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=64x1024 q=1 ord=nat place=oop lay=il | chain=8.8 wl=8 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=118420.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=64x2048 q=1 ord=nat place=oop lay=il | chain=64 wl=0 tf=0 ro=0 sw=256 rbk=8 turn=0 csk=0 | ran=1 ns=299028.6 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=64x4096 q=1 ord=nat place=oop lay=il | chain=8.8 wl=64 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=575000.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=64x8192 q=1 ord=nat place=oop lay=il | chain=8.8 wl=8 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=1302950.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=128x2 q=1 ord=nat place=oop lay=il | chain=4.32 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=213.9 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=128x4 q=1 ord=nat place=oop lay=il | chain=8.16 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=406.6 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=128x8 q=1 ord=nat place=oop lay=il | chain=8.16 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=1019.2 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=128x16 q=1 ord=nat place=oop lay=il | chain=4.4.4.2 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=2484.6 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=128x32 q=1 ord=nat place=oop lay=il | chain=4.32 wl=0 tf=0 ro=3 sw=16 rbk=8 turn=0 csk=0 | ran=1 ns=6731.1 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=128x64 q=1 ord=nat place=oop lay=il | chain=4.4.8 wl=0 tf=0 ro=3 sw=32 rbk=16 turn=0 csk=0 | ran=1 ns=13397.5 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=128x128 q=1 ord=nat place=oop lay=il | chain=4.8.4 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=24208.2 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=128x256 q=1 ord=nat place=oop lay=il | chain=4.8.4 wl=0 tf=0 ro=0 sw=128 rbk=8 turn=0 csk=0 | ran=1 ns=58360.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=128x512 q=1 ord=nat place=oop lay=il | chain=4.4.4.2 wl=128 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=117933.3 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=128x1024 q=1 ord=nat place=oop lay=il | chain=8.4.4 wl=32 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=282000.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=128x2048 q=1 ord=nat place=oop lay=il | chain=8.4.4 wl=16 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=593300.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=128x4096 q=1 ord=nat place=oop lay=il | chain=8.4.4 wl=8 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=1268400.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=128x8192 q=1 ord=nat place=oop lay=il | chain=4.8.4 wl=16 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=3068000.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=256x2 q=1 ord=nat place=oop lay=il | chain=8.32 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=418.3 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=256x4 q=1 ord=nat place=oop lay=il | chain=8.32 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=1017.9 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=256x8 q=1 ord=nat place=oop lay=il | chain=4.64 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=2470.5 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=256x16 q=1 ord=nat place=oop lay=il | chain=4.64 wl=0 tf=0 ro=3 sw=16 rbk=8 turn=0 csk=0 | ran=1 ns=5934.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=256x32 q=1 ord=nat place=oop lay=il | chain=4.8.8 wl=0 tf=0 ro=3 sw=16 rbk=4 turn=0 csk=0 | ran=1 ns=14186.9 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=256x64 q=1 ord=nat place=oop lay=il | chain=4.8.8 wl=0 tf=0 ro=3 sw=16 rbk=16 turn=0 csk=0 | ran=1 ns=28070.5 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=256x128 q=1 ord=nat place=oop lay=il | chain=4.4.4.4 wl=0 tf=0 ro=0 sw=64 rbk=8 turn=0 csk=0 | ran=1 ns=60910.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=256x256 q=1 ord=nat place=oop lay=il | chain=8.8.4 wl=128 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=109160.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=256x512 q=1 ord=nat place=oop lay=il | chain=8.4.4.2 wl=64 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=270985.7 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=256x1024 q=1 ord=nat place=oop lay=il | chain=8.8.4 wl=32 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=585100.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=256x2048 q=1 ord=nat place=oop lay=il | chain=8.8.4 wl=16 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=1256700.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=256x4096 q=1 ord=nat place=oop lay=il | chain=8.8.4 wl=256 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=2873100.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=256x8192 q=1 ord=nat place=oop lay=il | chain=32.8 wl=256 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=8351900.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=512x2 q=1 ord=nat place=oop lay=il | chain=16.32 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=1047.7 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=512x4 q=1 ord=nat place=oop lay=il | chain=8.64 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=2615.8 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=512x8 q=1 ord=nat place=oop lay=il | chain=4.16.8 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=5402.5 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=512x16 q=1 ord=nat place=oop lay=il | chain=4.8.16 wl=0 tf=0 ro=3 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=12724.6 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=512x32 q=1 ord=nat place=oop lay=il | chain=4.8.16 wl=0 tf=0 ro=3 sw=16 rbk=4 turn=0 csk=0 | ran=1 ns=25362.3 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=512x64 q=1 ord=nat place=oop lay=il | chain=4.8.16 wl=0 tf=0 ro=3 sw=32 rbk=16 turn=0 csk=0 | ran=1 ns=50146.7 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=512x128 q=1 ord=nat place=oop lay=il | chain=8.4.4.4 wl=8 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=115626.7 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=512x256 q=1 ord=nat place=oop lay=il | chain=8.4.4.4 wl=128 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=253285.7 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=512x512 q=1 ord=nat place=oop lay=il | chain=8.8.8 wl=128 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=578633.3 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=512x1024 q=1 ord=nat place=oop lay=il | chain=8.8.8 wl=64 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=1239900.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=512x4096 q=1 ord=nat place=oop lay=il | chain=8.8.8 wl=128 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=6793150.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=1024x2 q=1 ord=nat place=oop lay=il | chain=8.8.16 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=2651.2 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=1024x4 q=1 ord=nat place=oop lay=il | chain=8.4.32 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=5472.1 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=1024x8 q=1 ord=nat place=oop lay=il | chain=8.16.8 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=11565.6 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=1024x16 q=1 ord=nat place=oop lay=il | chain=8.8.16 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=26690.2 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=1024x32 q=1 ord=nat place=oop lay=il | chain=8.4.32 wl=0 tf=0 ro=3 sw=16 rbk=4 turn=0 csk=0 | ran=1 ns=58206.7 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=1024x64 q=1 ord=nat place=oop lay=il | chain=8.8.16 wl=64 tf=1 ro=3 sw=0 rbk=16 turn=0 csk=0 | ran=1 ns=109780.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=1024x128 q=1 ord=nat place=oop lay=il | chain=8.8.4.4 wl=256 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=262371.4 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=1024x256 q=1 ord=nat place=oop lay=il | chain=8.8.4.4 wl=128 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=537133.3 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=1024x512 q=1 ord=nat place=oop lay=il | chain=8.8.8.2 wl=256 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=1207600.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=1024x2048 q=1 ord=nat place=oop lay=il | chain=16.8.8 wl=128 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=7698500.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=2048x2 q=1 ord=nat place=oop lay=il | chain=32.64 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=5856.1 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=2048x4 q=1 ord=nat place=oop lay=il | chain=64.32 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=11882.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=2048x8 q=1 ord=nat place=oop lay=il | chain=16.4.4.8 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=26136.1 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=2048x16 q=1 ord=nat place=oop lay=il | chain=32.8.8 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=60836.7 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=2048x32 q=1 ord=nat place=oop lay=il | chain=32.4.16 wl=64 tf=1 ro=2 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=158100.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=2048x64 q=1 ord=nat place=oop lay=il | chain=32.8.8 wl=256 tf=1 ro=3 sw=0 rbk=16 turn=0 csk=0 | ran=1 ns=318628.6 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=2048x128 q=1 ord=nat place=oop lay=il | chain=32.8.8 wl=32 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=687833.3 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=2048x256 q=1 ord=nat place=oop lay=il | chain=16.8.4.4 wl=128 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=1511850.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=2048x1024 q=1 ord=nat place=oop lay=il | chain=32.8.8 wl=64 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=8670400.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=4096x2 q=1 ord=nat place=oop lay=il | chain=64.8.8 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=12360.7 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=4096x4 q=1 ord=nat place=oop lay=il | chain=16.16.16 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=24839.3 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=4096x8 q=1 ord=nat place=oop lay=il | chain=32.4.4.8 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=54720.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=4096x16 q=1 ord=nat place=oop lay=il | chain=32.4.32 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=143566.7 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=4096x32 q=1 ord=nat place=oop lay=il | chain=32.4.4.8 wl=32 tf=1 ro=3 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=326742.9 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=4096x64 q=1 ord=nat place=oop lay=il | chain=32.8.16 wl=16 tf=1 ro=3 sw=0 rbk=16 turn=0 csk=0 | ran=1 ns=697700.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=4096x128 q=1 ord=nat place=oop lay=il | chain=32.8.16 wl=256 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=1660250.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=4096x256 q=1 ord=nat place=oop lay=il | chain=16.32.8 wl=32 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=3797500.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=4096x512 q=1 ord=nat place=oop lay=il | chain=16.32.8 wl=256 tf=1 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=8204800.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=8192x2 q=1 ord=nat place=oop lay=il | chain=32.32.8 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=1 csk=0 | ran=1 ns=25727.9 metric=fwd1 units=ns src=race date=2026-09-24
